Validation_set,Topics,Alpha,Beta,Coherence
75% Corpus,5,asymmetric,0.7000000000000001,0.5291300425633512
75% Corpus,5,asymmetric,symmetric,0.5003613462714983
75% Corpus,6,0.1,0.1,0.5415486505185726
75% Corpus,6,0.1,0.4,0.5427241192718976
75% Corpus,6,0.1,0.7000000000000001,0.528605397378047
75% Corpus,6,0.1,symmetric,0.54691882665841
75% Corpus,6,0.4,0.1,0.5384024384448293
75% Corpus,6,0.4,0.4,0.5451796445505123
75% Corpus,6,0.4,0.7000000000000001,0.5427241192718976
75% Corpus,6,0.4,symmetric,0.5423575904365506
75% Corpus,6,0.7000000000000001,0.1,0.5190986849648153
75% Corpus,6,0.7000000000000001,0.4,0.5439586597188186
75% Corpus,6,0.7000000000000001,0.7000000000000001,0.5429643894625227
75% Corpus,6,0.7000000000000001,symmetric,0.5426098960129541
75% Corpus,6,symmetric,0.1,0.539954721832938
75% Corpus,6,symmetric,0.4,0.5340093650828595
75% Corpus,6,symmetric,0.7000000000000001,0.5432587775095132
75% Corpus,6,symmetric,symmetric,0.54691882665841
75% Corpus,6,asymmetric,0.1,0.5423575904365506
75% Corpus,6,asymmetric,0.4,0.5451796445505123
75% Corpus,6,asymmetric,0.7000000000000001,0.5249356013658193
75% Corpus,6,asymmetric,symmetric,0.54691882665841
75% Corpus,7,0.1,0.1,0.5377519426765718
75% Corpus,7,0.1,0.4,0.5524627817995512
75% Corpus,7,0.1,0.7000000000000001,0.557550134108747
75% Corpus,7,0.1,symmetric,0.5333997760789713
75% Corpus,7,0.4,0.1,0.5531187466272475
75% Corpus,7,0.4,0.4,0.5732101400456717
75% Corpus,7,0.4,0.7000000000000001,0.5781643632498911
75% Corpus,7,0.4,symmetric,0.5599331343330344
75% Corpus,7,0.7000000000000001,0.1,0.5640583159362761
75% Corpus,7,0.7000000000000001,0.4,0.570524876059294
75% Corpus,7,0.7000000000000001,0.7000000000000001,0.5755121899329261
75% Corpus,7,0.7000000000000001,symmetric,0.5563381759416518
75% Corpus,7,symmetric,0.1,0.5388998827534384
75% Corpus,7,symmetric,0.4,0.5547632965037679
75% Corpus,7,symmetric,0.7000000000000001,0.5592014884164546
75% Corpus,7,symmetric,symmetric,0.5391205629768663
75% Corpus,7,asymmetric,0.1,0.543476919307109
75% Corpus,7,asymmetric,0.4,0.538951812657045
75% Corpus,7,asymmetric,0.7000000000000001,0.5555148724724974
75% Corpus,7,asymmetric,symmetric,0.5332981358848639
75% Corpus,8,0.1,0.1,0.5852253365887254
75% Corpus,8,0.1,0.4,0.5549473994875036
75% Corpus,8,0.1,0.7000000000000001,0.5236179596454748
75% Corpus,8,0.1,symmetric,0.5874510247616223
75% Corpus,8,0.4,0.1,0.5925748865046719
75% Corpus,8,0.4,0.4,0.5235968170272809
75% Corpus,8,0.4,0.7000000000000001,0.5396112548728782
75% Corpus,8,0.4,symmetric,0.5896820716003698
75% Corpus,8,0.7000000000000001,0.1,0.6001663542133064
75% Corpus,8,0.7000000000000001,0.4,0.5328733555063725
75% Corpus,8,0.7000000000000001,0.7000000000000001,0.5308292762514697
75% Corpus,8,0.7000000000000001,symmetric,0.5840260857373027
75% Corpus,8,symmetric,0.1,0.5887152523788897
75% Corpus,8,symmetric,0.4,0.5397127627199125
